timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,2.530000,0.437000,1.000000,0.000000,0.000000,0.000000
0.100000,5.494020,0.253027,0.043445,-0.118836,2.529655,0.430200,0.999730,0.000086,-0.000039,0.023248
0.200000,5.476319,0.505653,0.085532,-0.234792,2.521993,0.409691,0.998936,0.000087,-0.000059,0.046126
0.300000,5.447093,0.757239,0.124984,-0.349358,2.508770,0.377052,0.997617,0.000112,-0.000091,0.068999
0.400000,5.406463,1.007192,0.160622,-0.463414,2.489708,0.333739,0.995774,0.000095,-0.000085,0.091842
0.500000,5.354470,1.255015,0.191388,-0.575999,2.465777,0.280321,0.993412,0.000117,-0.000123,0.114594
0.600000,5.291290,1.500161,0.216386,-0.687354,2.436284,0.218403,0.990514,0.000086,-0.000065,0.137411
0.700000,5.217016,1.742098,0.234827,-0.797915,2.401516,0.149163,0.987104,0.000115,-0.000156,0.160078
0.800000,5.131759,1.980292,0.246092,-0.906894,2.361641,0.075603,0.983154,0.000099,-0.000090,0.182779
0.900000,5.035715,2.214201,0.249875,-1.013641,2.315869,-0.000298,0.978698,0.000129,-0.000170,0.205306
1.000000,4.929059,2.443354,0.246059,-1.118980,2.266399,-0.075716,0.973707,0.000128,-0.000032,0.227803
1.100000,4.812021,2.667321,0.234791,-1.221543,2.212282,-0.149069,0.968203,0.000165,-0.000103,0.250164
1.200000,4.684794,2.885638,0.216401,-1.322421,2.153325,-0.217740,0.962183,0.000206,-0.000028,0.272402
1.300000,4.547601,3.097807,0.191450,-1.421227,2.089115,-0.280028,0.955675,0.000237,-0.000042,0.294422
1.400000,4.400706,3.303343,0.160743,-1.516175,2.020731,-0.332768,0.948597,0.000237,0.000039,0.316485
1.500000,4.244439,3.501782,0.125229,-1.608927,1.947388,-0.375691,0.941112,0.000252,-0.000026,0.338095
1.600000,4.079051,3.692710,0.085969,-1.698206,1.870472,-0.407281,0.933032,0.000198,0.000079,0.359792
1.700000,3.904925,3.875770,0.044152,-1.783976,1.789991,-0.426823,0.924538,0.000181,0.000026,0.381090
1.800000,3.722368,4.050611,0.001057,-1.866551,1.706136,-0.432931,0.915484,0.000161,0.000119,0.402355
1.900000,3.531770,4.216899,-0.041975,-1.944636,1.618777,-0.425820,0.906006,0.000164,0.000099,0.423265
2.000000,3.333567,4.374266,-0.083640,-2.018765,1.528298,-0.405430,0.895999,0.000157,0.000163,0.444057
2.100000,3.128191,4.522435,-0.122716,-2.088015,1.434686,-0.373896,0.885585,0.000149,0.000154,0.464477
2.200000,2.916121,4.661150,-0.158011,-2.152377,1.338968,-0.330280,0.874616,0.000118,0.000234,0.484816
2.300000,2.697864,4.790116,-0.188437,-2.211912,1.239928,-0.276638,0.863301,0.000119,0.000184,0.504690
2.400000,2.473910,4.909078,-0.213047,-2.266132,1.138743,-0.214561,0.851438,0.000098,0.000255,0.524454
2.500000,2.244780,5.017795,-0.231163,-2.315548,1.035392,-0.146811,0.839210,0.000103,0.000199,0.543807
2.600000,2.010965,5.116048,-0.242216,-2.359657,0.929388,-0.073713,0.826479,0.000057,0.000241,0.562967
2.700000,1.772996,5.203605,-0.245834,-2.398630,0.821273,0.001751,0.813362,0.000069,0.000183,0.581758
2.800000,1.531427,5.280193,-0.241880,-2.431777,0.710160,0.076929,0.799726,0.000031,0.000142,0.600366
2.900000,1.286791,5.345591,-0.230509,-2.460032,0.597621,0.149967,0.785725,-0.000057,0.000019,0.618576
3.000000,1.039572,5.399649,-0.212079,-2.483524,0.483453,0.217966,0.771264,-0.000203,-0.000078,0.636516
3.100000,0.790280,5.442211,-0.187141,-2.501739,0.367665,0.279666,0.756461,-0.000309,-0.000212,0.654039
3.200000,0.539348,5.473132,-0.156463,-2.516131,0.250862,0.332388,0.741274,-0.000413,-0.000242,0.671203
3.300000,0.287249,5.492312,-0.120982,-2.525352,0.132974,0.375422,0.725683,-0.000494,-0.000327,0.688029
3.400000,0.034457,5.499706,-0.081766,-2.529846,0.015109,0.407168,0.709734,-0.000583,-0.000346,0.704470
3.500000,-0.218504,5.495383,-0.039960,-2.528506,-0.101427,0.426912,0.693427,-0.000526,-0.000287,0.720527
3.600000,-0.471042,5.479475,0.003135,-2.521501,-0.216631,0.433112,0.676793,-0.000511,-0.000168,0.736174
3.700000,-0.722617,5.452126,0.046226,-2.508902,-0.330145,0.426450,0.659686,-0.000353,-0.000102,0.751541
3.800000,-0.972652,5.413438,0.087972,-2.490767,-0.443460,0.406514,0.642189,-0.000366,-0.000000,0.766546
3.900000,-1.220583,5.363479,0.127105,-2.466969,-0.555712,0.374003,0.624362,-0.000279,0.000064,0.781135
4.000000,-1.465864,5.302309,0.162365,-2.437839,-0.667469,0.329723,0.606162,-0.000223,0.000106,0.795341
4.100000,-1.707972,5.229994,0.192739,-2.403719,-0.778531,0.276258,0.587621,-0.000140,0.000207,0.809136
4.200000,-1.946463,5.146639,0.217300,-2.365115,-0.888349,0.213990,0.568584,0.000018,0.000300,0.822625
4.300000,-2.180782,5.052354,0.235283,-2.321178,-0.997207,0.144863,0.549673,-0.000025,0.000353,0.835380
4.400000,-2.410568,4.947282,0.246120,-2.273204,-1.104338,0.071191,0.530009,0.000104,0.000352,0.847992
4.500000,-2.635250,4.831569,0.249457,-2.220162,-1.209580,-0.004670,0.510614,0.000064,0.000411,0.859810
4.600000,-2.854394,4.705442,0.245216,-2.161774,-1.312298,-0.080089,0.490446,0.000191,0.000448,0.871472
4.700000,-3.067424,4.569206,0.233470,-2.098118,-1.412310,-0.154073,0.470519,0.000143,0.000438,0.882389
4.800000,-3.273920,4.423110,0.214593,-2.030678,-1.508875,-0.222514,0.449881,0.000245,0.000433,0.893088
4.900000,-3.473432,4.267493,0.189170,-1.959119,-1.602823,-0.284585,0.429426,0.000257,0.000415,0.903102
5.000000,-3.665621,4.102673,0.157957,-1.884128,-1.692863,-0.338175,0.408519,0.000321,0.000399,0.912750
5.100000,-3.850105,3.929082,0.121895,-1.805242,-1.778381,-0.381037,0.387486,0.000323,0.000352,0.921875
5.200000,-4.026548,3.747192,0.082130,-1.722706,-1.858898,-0.412234,0.366206,0.000322,0.000318,0.930534
5.300000,-4.194555,3.557485,0.039869,-1.636965,-1.934356,-0.430993,0.344748,0.000339,0.000242,0.938695
5.400000,-4.353822,3.360446,-0.003591,-1.547984,-2.005740,-0.435926,0.323134,0.000336,0.000218,0.946353
5.500000,-4.503994,3.156505,-0.046921,-1.455109,-2.072286,-0.428538,0.301326,0.000316,0.000196,0.953521
5.600000,-4.644695,2.946127,-0.088845,-1.358549,-2.134642,-0.407875,0.279340,0.000316,0.000126,0.960192
5.700000,-4.775562,2.729724,-0.128055,-1.258124,-2.192783,-0.374706,0.257181,0.000281,0.000096,0.966363
5.800000,-4.896230,2.507731,-0.163394,-1.154749,-2.246409,-0.330231,0.234874,0.000264,0.000049,0.972026
5.900000,-5.006424,2.280561,-0.193761,-1.048703,-2.295890,-0.275316,0.212388,0.000235,-0.000022,0.977185
6.000000,-5.105921,2.048699,-0.218187,-0.940665,-2.340682,-0.211896,0.189764,0.000224,-0.000087,0.981830
6.100000,-5.194485,1.812559,-0.235957,-0.830235,-2.381277,-0.142104,0.166980,0.000220,-0.000122,0.985960
6.200000,-5.271953,1.572557,-0.246515,-0.718798,-2.418092,-0.068435,0.144130,0.000256,-0.000131,0.989559
6.300000,-5.338201,1.329138,-0.249547,-0.606123,-2.449538,0.007542,0.121201,0.000284,-0.000130,0.992628
6.400000,-5.393132,1.082759,-0.245031,-0.492311,-2.477087,0.082675,0.098305,0.000202,-0.000106,0.995156
6.500000,-5.436614,0.833913,-0.233070,-0.377345,-2.498864,0.155992,0.075322,0.000204,-0.000110,0.997159
6.600000,-5.468572,0.583143,-0.214013,-0.261500,-2.515685,0.224309,0.052427,0.000163,-0.000091,0.998625
6.700000,-5.488970,0.330979,-0.188460,-0.146242,-2.526457,0.285505,0.029429,0.000215,-0.000104,0.999567
6.800000,-5.497776,0.078026,-0.157183,-0.030010,-2.531947,0.338884,0.006486,0.000199,-0.000112,0.999979
6.900000,-5.495033,-0.175210,-0.121035,0.085096,-2.532035,0.381981,0.016499,-0.000194,0.000082,-0.999864
7.000000,-5.480741,-0.428184,-0.081181,0.200965,-2.526609,0.413101,0.039413,-0.000207,0.000068,-0.999223
7.100000,-5.454858,-0.680314,-0.038837,0.316385,-2.515368,0.431496,0.062223,-0.000211,0.000089,-0.998062
7.200000,-5.417480,-0.931090,0.004724,0.431331,-2.499063,0.437221,0.085193,-0.000226,0.000088,-0.996364
7.300000,-5.368646,-1.179911,0.048164,0.545415,-2.476458,0.429379,0.107965,-0.000187,0.000064,-0.994155
7.400000,-5.308460,-1.426240,0.090177,0.658108,-2.449247,0.408398,0.130746,-0.000172,0.000036,-0.991416
7.500000,-5.237087,-1.669552,0.129417,0.769283,-2.416531,0.374846,0.153407,-0.000122,0.000013,-0.988163
7.600000,-5.154680,-1.909347,0.164739,0.878807,-2.378316,0.329766,0.176049,-0.000119,-0.000018,-0.984381
7.700000,-5.061436,-2.145016,0.195046,0.985349,-2.334294,0.274892,0.198597,-0.000079,-0.000040,-0.980081
7.800000,-4.957632,-2.376078,0.219460,1.090615,-2.286043,0.211880,0.221049,-0.000053,-0.000034,-0.975263
7.900000,-4.843402,-2.602081,0.237203,1.193727,-2.233118,0.141854,0.243414,-0.000055,-0.000076,-0.969923
8.000000,-4.718981,-2.822506,0.247735,1.294423,-2.174715,0.068287,0.265665,-0.000041,-0.000071,-0.964065
8.100000,-4.584605,-3.036852,0.250747,1.392734,-2.111692,-0.008404,0.287819,-0.000023,-0.000076,-0.957685
8.200000,-4.440534,-3.244680,0.246115,1.488490,-2.044049,-0.084196,0.309729,-0.000015,-0.000093,-0.950825
8.300000,-4.286993,-3.445510,0.233988,1.581746,-1.971854,-0.157463,0.331591,0.000007,-0.000085,-0.943423
8.400000,-4.124324,-3.638917,0.214790,1.671257,-1.895538,-0.225290,0.353214,-0.000026,-0.000086,-0.935542
8.500000,-3.952804,-3.824491,0.189113,1.758444,-1.814899,-0.286898,0.374735,-0.000004,-0.000070,-0.927132
8.600000,-3.772782,-4.001838,0.157733,1.841534,-1.731395,-0.339322,0.395868,-0.000073,-0.000076,-0.918308
8.700000,-3.584632,-4.170641,0.121604,1.920889,-1.644032,-0.381303,0.416959,-0.000018,-0.000045,-0.908926
8.800000,-3.388784,-4.330572,0.081853,1.995601,-1.554193,-0.411947,0.437697,-0.000031,-0.000041,-0.899122
8.900000,-3.185707,-4.481419,0.039643,2.065179,-1.462204,-0.430244,0.458460,0.000006,-0.000006,-0.888715
9.000000,-2.975910,-4.622951,-0.003754,2.129695,-1.367928,-0.435198,0.478575,-0.000034,0.000010,-0.878047
9.100000,-2.759907,-4.754925,-0.046980,2.189621,-1.270952,-0.427016,0.498832,0.000003,0.000050,-0.866699
9.200000,-2.538155,-4.877060,-0.088727,2.244609,-1.171234,-0.405895,0.518433,0.000018,0.000006,-0.855118
9.300000,-2.311126,-4.989060,-0.127715,2.294823,-1.068404,-0.372163,0.538055,0.000058,-0.000038,-0.842910
9.400000,-2.079319,-5.090634,-0.162779,2.340255,-0.962699,-0.327273,0.557152,0.000082,-0.000122,-0.830410
9.500000,-1.843210,-5.181508,-0.192864,2.380965,-0.854193,-0.272825,0.576194,0.000078,-0.000176,-0.817313
9.600000,-1.603353,-5.261400,-0.217053,2.415979,-0.743204,-0.209799,0.594725,0.000098,-0.000236,-0.803929
9.700000,-1.360202,-5.330114,-0.234600,2.446049,-0.630335,-0.140524,0.613198,0.000037,-0.000265,-0.789929
9.800000,-1.114284,-5.387439,-0.244974,2.471910,-0.515495,-0.066398,0.630971,-0.000022,-0.000248,-0.775806
9.900000,-0.866029,-5.433217,-0.247794,2.492219,-0.399850,0.009896,0.648899,-0.000142,-0.000219,-0.760875
10.000000,-0.615987,-5.467338,-0.242996,2.508088,-0.282682,0.085994,0.666103,-0.000269,-0.000192,-0.745860
10.100000,-0.364624,-5.489802,-0.230742,2.518425,-0.166353,0.158680,0.683241,-0.000417,-0.000049,-0.730193
10.200000,-0.112489,-5.500610,-0.211450,2.523760,-0.049964,0.226299,0.699805,-0.000565,0.000098,-0.714334
10.300000,0.139971,-5.499795,-0.185699,2.524375,0.066350,0.287380,0.716160,-0.000647,0.000204,-0.697935
10.400000,0.392185,-5.487309,-0.154288,2.519376,0.182846,0.339458,0.732006,-0.000700,0.000364,-0.681297
10.500000,0.643662,-5.463234,-0.118202,2.509140,0.298822,0.380862,0.747559,-0.000774,0.000513,-0.664194
10.600000,0.893867,-5.427586,-0.078508,2.494412,0.414049,0.411114,0.762619,-0.000756,0.000582,-0.646847
10.700000,1.142340,-5.380450,-0.036415,2.474072,0.528341,0.428603,0.777307,-0.000688,0.000564,-0.629121
10.800000,1.388504,-5.321933,0.006766,2.448324,0.642119,0.432504,0.791540,-0.000519,0.000487,-0.611117
10.900000,1.631843,-5.252091,0.049668,2.417561,0.754263,0.423397,0.805351,-0.000261,0.000389,-0.592797
11.000000,1.871787,-5.171165,0.091038,2.380733,0.863984,0.402270,0.818741,-0.000020,0.000257,-0.574162
11.100000,2.107821,-5.079371,0.129676,2.339070,0.971520,0.368879,0.831707,0.000134,0.000251,-0.555215
11.200000,2.339405,-4.976869,0.164418,2.291545,1.078095,0.324197,0.844201,0.000306,0.000068,-0.536027
11.300000,2.566000,-4.863876,0.194146,2.239316,1.181592,0.269067,0.856312,0.000438,0.000044,-0.516459
11.400000,2.787102,-4.740662,0.217957,2.182040,1.282729,0.206049,0.867944,0.000524,-0.000085,-0.496661
11.500000,3.002251,-4.607434,0.235144,2.119994,1.381296,0.136971,0.879156,0.000548,-0.000162,-0.476535
11.600000,3.210985,-4.464500,0.245195,2.053967,1.476977,0.063589,0.889871,0.000589,-0.000149,-0.456212
11.700000,3.412874,-4.312136,0.247763,1.983000,1.569905,-0.012277,0.900131,0.000582,-0.000241,-0.435619
11.800000,3.607441,-4.150622,0.242744,1.907679,1.659754,-0.087932,0.909942,0.000579,-0.000273,-0.414736
11.900000,3.794283,-3.980324,0.230298,1.828682,1.745785,-0.160219,0.919239,0.000562,-0.000297,-0.393699
12.000000,3.973061,-3.801608,0.210839,1.746428,1.827877,-0.228213,0.928077,0.000566,-0.000307,-0.372387
12.100000,4.143401,-3.614871,0.184901,1.659939,1.906471,-0.289376,0.936428,0.000533,-0.000366,-0.350858
12.200000,4.304983,-3.420480,0.153282,1.570965,1.980753,-0.341386,0.944245,0.000526,-0.000346,-0.329244
12.300000,4.457489,-3.218808,0.116977,1.478605,2.051882,-0.383061,0.951585,0.000482,-0.000351,-0.307386
12.400000,4.600600,-3.010295,0.077057,1.383066,2.117657,-0.413472,0.958403,0.000449,-0.000369,-0.285418
12.500000,4.734033,-2.795436,0.034707,1.284972,2.178924,-0.431195,0.964723,0.000385,-0.000362,-0.263268
12.600000,4.857531,-2.574703,-0.008737,1.184661,2.235016,-0.435358,0.970526,0.000305,-0.000346,-0.240996
12.700000,4.970841,-2.348589,-0.051963,1.081120,2.286700,-0.426918,0.975787,0.000203,-0.000327,-0.218724
12.800000,5.073625,-2.117478,-0.093645,0.974494,2.334616,-0.404635,0.980575,0.000112,-0.000286,-0.196142
12.900000,5.165624,-1.881846,-0.132462,0.865367,2.377102,-0.370025,0.984804,0.000003,-0.000311,-0.173668
13.000000,5.246669,-1.642185,-0.167256,0.755002,2.415193,-0.324283,0.988537,-0.000141,-0.000284,-0.150976
13.100000,5.316591,-1.398944,-0.196994,0.643430,2.448535,-0.268925,0.991744,-0.000226,-0.000258,-0.128234
13.200000,5.375288,-1.152698,-0.220810,0.530456,2.475721,-0.205887,0.994431,-0.000261,-0.000234,-0.105389
13.300000,5.422644,-0.903961,-0.237958,0.416405,2.497825,-0.136158,0.996589,-0.000283,-0.000222,-0.082519
13.400000,5.458565,-0.653301,-0.247869,0.301875,2.514658,-0.061499,0.998221,-0.000225,-0.000193,-0.059619
13.500000,5.483014,-0.401231,-0.250231,0.187162,2.525992,0.014552,0.999328,-0.000155,-0.000228,-0.036665
13.600000,5.495913,-0.148284,-0.244989,0.070866,2.531792,0.090137,0.999906,-0.000060,-0.000258,-0.013726
13.700000,5.497147,0.104943,-0.232299,-0.046028,2.531810,0.163397,0.999957,0.000040,-0.000229,0.009247
13.800000,5.486730,0.357907,-0.212525,-0.162624,2.526485,0.231489,0.999481,0.000074,-0.000241,0.032224
13.900000,5.464693,0.610074,-0.186256,-0.278114,2.515948,0.292563,0.998474,0.000100,-0.000253,0.055219
14.000000,5.431101,0.860893,-0.154343,-0.393928,2.499767,0.344170,0.996944,0.000080,-0.000255,0.078124
14.100000,5.385992,1.109869,-0.117728,-0.508355,2.478861,0.386164,0.994889,0.000092,-0.000295,0.100975
14.200000,5.329508,1.356490,-0.077523,-0.621106,2.452650,0.415940,0.992304,0.000074,-0.000279,0.123822
14.300000,5.261815,1.600215,-0.034944,-0.732576,2.421256,0.433335,0.989198,0.000058,-0.000289,0.146584
14.400000,5.183038,1.840535,0.008702,-0.842589,2.384317,0.437397,0.985560,0.000087,-0.000285,0.169328
14.500000,5.093351,2.076918,0.052086,-0.950976,2.342377,0.428497,0.981400,0.000077,-0.000247,0.191975
14.600000,4.992936,2.308856,0.093910,-1.057225,2.295515,0.405926,0.976723,0.000105,-0.000225,0.214504
